星視界頻道,#genre#
ELEVEN体育-2,https://dispatch.ulivetv.net/v/live/cg1mlp24a2tc.m3u8?stream_id=cg1mlp24a2tc&timestamp=1686210976&rand=X4xZzMjJXR&uuid=9b647b3816b2a66a&from=web&sign=f69fc2cdce17ea33b705143704baebf8
博斯运动-1,https://dispatch.ulivetv.net/v/live/cg1mq9e7sl34.m3u8?stream_id=cg1mq9e7sl34&timestamp=1686210990&rand=PTYLc8jhic&uuid=9b647b3816b2a66a&from=web&sign=2c363ea0c0846569a5d642b3bacdc8ec
博斯运动-2,https://dispatch.ulivetv.net/v/live/cg1mvz20c14w.m3u8?stream_id=cg1mvz20c14w&timestamp=1686211004&rand=W0n5qF0Znw&uuid=9b647b3816b2a66a&from=web&sign=98924ab8e96bf8f3e18e19f2842af9fb
博斯高球-1,https://dispatch.ulivetv.net/v/live/cg1n0b4bgbeo.m3u8?stream_id=cg1n0b4bgbeo&timestamp=1686211019&rand=Ujij6aU3VZ&uuid=9b647b3816b2a66a&from=web&sign=0a5bf14985de3988d6f6b1707d515cd1
博斯高球-2,https://dispatch.ulivetv.net/v/live/cg1n6ib9u4sg.m3u8?stream_id=cg1n6ib9u4sg&timestamp=1686211033&rand=kduzgOKxrL&uuid=9b647b3816b2a66a&from=web&sign=30e843dad3af320346f4561c1aa94804
博斯网球,https://dispatch.ulivetv.net/v/live/cg1nb00eplts.m3u8?stream_id=cg1nb00eplts&timestamp=1686211047&rand=iAjFS45dMm&uuid=9b647b3816b2a66a&from=web&sign=02fbe84475485a137da15123a8565d29
SonySports1,https://dispatch.ulivetv.net/v/live/cg1npm2qvn40.m3u8?stream_id=cg1npm2qvn40&timestamp=1686211061&rand=mkHS1UcDps&uuid=9b647b3816b2a66a&from=web&sign=49216e47e95983db54d7d49b088fe6fe
SonySports2,https://dispatch.ulivetv.net/v/live/cg1o236o5ubk.m3u8?stream_id=cg1o236o5ubk&timestamp=1686211076&rand=P1ZbmSuSD4&uuid=9b647b3816b2a66a&from=web&sign=749bbf2773cd7a4c20c641d306f7a897
SonySports3,https://dispatch.ulivetv.net/v/live/cg1occ9jk43k.m3u8?stream_id=cg1occ9jk43k&timestamp=1686211090&rand=Eiwjkj529q&uuid=9b647b3816b2a66a&from=web&sign=ca17b1c25b8ac50fd0feed62f4ceff48
SonySports4,https://dispatch.ulivetv.net/v/live/cg1okgbznhs0.m3u8?stream_id=cg1okgbznhs0&timestamp=1686211104&rand=DHf0XDvJAW&uuid=9b647b3816b2a66a&from=web&sign=1a48716387554ed86ad3ac3e153562d7
beINSportsMAX,https://dispatch.ulivetv.net/v/live/cg1pl1djbidc.m3u8?stream_id=cg1pl1djbidc&timestamp=1686211132&rand=70ODbls7wH&uuid=9b647b3816b2a66a&from=web&sign=a239e6caa1168cc02c741240a0d00bd6
SPOTV-2,https://dispatch.ulivetv.net/v/live/cg4vpue7oa80.m3u8?stream_id=cg4vpue7oa80&timestamp=1686211147&rand=LUkbwEeFnA&uuid=9b647b3816b2a66a&from=web&sign=941c16fdd317b3f9dca424293e3bf549
SPOTV,https://dispatch.ulivetv.net/v/live/cg4y76plhgw0.m3u8?stream_id=cg4y76plhgw0&timestamp=1686211161&rand=17iINoUgAo&uuid=9b647b3816b2a66a&from=web&sign=c514fe9a5a300bf51d74dea1d9e44787
Eurosport,https://dispatch.ulivetv.net/v/live/cg4yqzuewerk.m3u8?stream_id=cg4yqzuewerk&timestamp=1686211218&rand=ZS3nwHntDu&uuid=9b647b3816b2a66a&from=web&sign=9a2955720d6bc2d016e7d8d9b95f628f
Eurosports-1,https://dispatch.ulivetv.net/v/live/cl7cnsau00jk.m3u8?stream_id=cl7cnsau00jk&timestamp=1686211232&rand=p4PDrfDnTa&uuid=9b647b3816b2a66a&from=web&sign=6da8eef93eb1fba2e8c47c5689a3e9e6
博斯无限,https://dispatch.ulivetv.net/v/live/clecumtydz28.m3u8?stream_id=clecumtydz28&timestamp=1686211246&rand=VcUAvWTAv8&uuid=9b647b3816b2a66a&from=web&sign=5038e9359a8c14706481b7f521cf2832
ELTA体育-1,https://dispatch.ulivetv.net/v/live/clecyhjewngg.m3u8?stream_id=clecyhjewngg&timestamp=1686211260&rand=o8ueDo0RsL&uuid=9b647b3816b2a66a&from=web&sign=193ba47e49a01691dc3d0a2d3ca061dc
ELTA体育-2,https://dispatch.ulivetv.net/v/live/clecysls7oow.m3u8?stream_id=clecysls7oow&timestamp=1686211275&rand=M9xANdmttC&uuid=9b647b3816b2a66a&from=web&sign=58df5fc7803956032ddda4a2e5c87c9c
靖天卡通台,https://dispatch.ulivetv.net/v/live/cg16vy7fp9s0.m3u8?stream_id=cg16vy7fp9s0&timestamp=1686211289&rand=hfXLJK7UZV&uuid=9b647b3816b2a66a&from=web&sign=bca745a3f40a4706a2d2b329515cfb8e
Astro小太阳,https://dispatch.ulivetv.net/v/live/cgbwueb4f8hs.m3u8?stream_id=cgbwueb4f8hs&timestamp=1686211303&rand=rd3Xpy6iU9&uuid=9b647b3816b2a66a&from=web&sign=776d58fc86618b52a95354154d78ee87
MOMOTV,https://dispatch.ulivetv.net/v/live/ciw8e2mbl9z4.m3u8?stream_id=ciw8e2mbl9z4&timestamp=1686211331&rand=39t5WcCl1n&uuid=9b647b3816b2a66a&from=web&sign=d0f4cee5a1c5c55030300957926dcceb
小尼克频道,https://dispatch.ulivetv.net/v/live/cl7ccsvv560w.m3u8?stream_id=cl7ccsvv560w&timestamp=1686211346&rand=F75bPDRbpI&uuid=9b647b3816b2a66a&from=web&sign=755218222e1ab801857632ddb6b162c9
MOMO亲子台,https://dispatch.ulivetv.net/v/live/cl7cd4sc85a8.m3u8?stream_id=cl7cd4sc85a8&timestamp=1686211360&rand=Cr6dp7p0v8&uuid=9b647b3816b2a66a&from=web&sign=5a8b56ae674fb11740eed3ab5c2e3030
CN卡通,https://dispatch.ulivetv.net/v/live/cl7cebyhju80.m3u8?stream_id=cl7cebyhju80&timestamp=1686211374&rand=dsUz4htkQb&uuid=9b647b3816b2a66a&from=web&sign=647d0d12bb0879d2a8a275f11030cd5a
Boomerang,https://dispatch.ulivetv.net/v/live/cl7cetj6bz5s.m3u8?stream_id=cl7cetj6bz5s&timestamp=1686211388&rand=A1BIwcN5vE&uuid=9b647b3816b2a66a&from=web&sign=cd9e85ad0b6f0528da11624f3e34fb86
Animax卡通,https://dispatch.ulivetv.net/v/live/cl7cf8045n7k.m3u8?stream_id=cl7cf8045n7k&timestamp=1686211402&rand=o38e0QxyQp&uuid=9b647b3816b2a66a&from=web&sign=4f397fe4cb30cd8da0261e9bed826ba5
尼克儿童频道,https://dispatch.ulivetv.net/v/live/clecty3pkqm8.m3u8?stream_id=clecty3pkqm8&timestamp=1686211417&rand=KojqvHgMXH&uuid=9b647b3816b2a66a&from=web&sign=8f5207de2b2b63aa64f9a0d7a100abc3
国家地理,https://dispatch.ulivetv.net/v/live/cg1khzm3mzls.m3u8?stream_id=cg1khzm3mzls&timestamp=1686211431&rand=HSG0sM4opx&uuid=9b647b3816b2a66a&from=web&sign=1b296eb9e780de3182db28bee5534858
国家地理野生频道,https://dispatch.ulivetv.net/v/live/cg1kmp2fnw00.m3u8?stream_id=cg1kmp2fnw00&timestamp=1686211445&rand=Y6afUjzbG0&uuid=9b647b3816b2a66a&from=web&sign=746247e95ee405f0808c7284c08c3077
动物星球频道,https://dispatch.ulivetv.net/v/live/cg1l4589x9s0.m3u8?stream_id=cg1l4589x9s0&timestamp=1686211459&rand=Bd74Hy78Lv&uuid=9b647b3816b2a66a&from=web&sign=c64f483bdf77e074d4b058d6342e9ac6
探索科学频道,https://dispatch.ulivetv.net/v/live/cg1lhf32n268.m3u8?stream_id=cg1lhf32n268&timestamp=1686211502&rand=K162XDm058&uuid=9b647b3816b2a66a&from=web&sign=9c3690d5d0dd470278bb34a1a897363a
History频道,https://dispatch.ulivetv.net/v/live/cl7ch406n6ww.m3u8?stream_id=cl7ch406n6ww&timestamp=1686211530&rand=D3P0BctMct&uuid=9b647b3816b2a66a&from=web&sign=eaaebb2d30b517d0d3bb2ef3677025ed
History-2频道,https://dispatch.ulivetv.net/v/live/cl7chgdb1t4w.m3u8?stream_id=cl7chgdb1t4w&timestamp=1686211544&rand=3DQfF2mCch&uuid=9b647b3816b2a66a&from=web&sign=b9cdec183a9e3420831537e6b266867f
TLC旅游生活頻道,https://dispatch.ulivetv.net/v/live/cl7chv63w4ao.m3u8?stream_id=cl7chv63w4ao&timestamp=1686211559&rand=qAABEuG47H&uuid=9b647b3816b2a66a&from=web&sign=3deed7677c5154aa6f5cd6106370a902
亚洲旅游台,https://dispatch.ulivetv.net/v/live/cl7cikas48n4.m3u8?stream_id=cl7cikas48n4&timestamp=1686211587&rand=n7z6KNbWVj&uuid=9b647b3816b2a66a&from=web&sign=429333602231b4e300a53e84b6f4a8c1
美食星球频道,https://dispatch.ulivetv.net/v/live/cl7cq7br5d4w.m3u8?stream_id=cl7cq7br5d4w&timestamp=1686211601&rand=YlNi27SlOX&uuid=9b647b3816b2a66a&from=web&sign=03fcbfe5fcfc98f183a405212a595646
EYE旅游台,https://dispatch.ulivetv.net/v/live/cl7crdhyxn0g.m3u8?stream_id=cl7crdhyxn0g&timestamp=1686211615&rand=tbnCJmGR9h&uuid=9b647b3816b2a66a&from=web&sign=a470399f6cf243b40ac2560c7f0f69f7
